Model,Type,Accuracy,F1-Score
ML: Random Forest,Classical ML,0.2857142857142857,0.2285714285714286
ML: Gradient Boosting,Classical ML,0.2857142857142857,0.23809523809523808
ML: Extra Trees,Classical ML,0.42857142857142855,0.30476190476190473
ML: SVM (RBF),Classical ML,0.2857142857142857,0.2285714285714286
ML: KNN,Classical ML,0.2857142857142857,0.2285714285714286
ML: Logistic Regression,Classical ML,0.2857142857142857,0.2285714285714286
ML: Decision Tree,Classical ML,0.2857142857142857,0.2285714285714286
ML: Naive Bayes,Classical ML,0.42857142857142855,0.39999999999999997
DL: CNN,Deep Learning,0.1428571492433548,0.1428571492433548
DL: LSTM,Deep Learning,0.2857142984867096,0.2857142984867096
DL: Hybrid,Deep Learning,0.2857142984867096,0.2857142984867096
